Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
EmojiApp,emojiapp,Imagen,Imagen,4,1,2,16,0,,
EmojiApp,emojiapp,Imagen,getImageName,3,1,0,21,0,,
EmojiApp,emojiapp,Imagen,setImageName,3,1,1,25,0,,
EmojiApp,emojiapp,Imagen,getImagePath,3,1,0,29,0,,
EmojiApp,emojiapp,Imagen,setImagePath,3,1,1,33,0,,
EmojiApp,emojiapp,LinkedList,LinkedList,4,1,0,10,0,,
EmojiApp,emojiapp,LinkedList,size,8,2,0,15,0,,
EmojiApp,emojiapp,LinkedList,toString,9,2,0,25,0,,
EmojiApp,emojiapp,LinkedList,isEmpty,3,1,0,37,0,,
EmojiApp,emojiapp,LinkedList,clear,3,1,0,42,0,,
EmojiApp,emojiapp,LinkedList,addFirst,12,3,1,47,0,emojiapp.LinkedList,emojiapp.LinkedList
EmojiApp,emojiapp,LinkedList,addLast,14,3,1,61,0,emojiapp.LinkedList,emojiapp.LinkedList
EmojiApp,emojiapp,LinkedList,removeFirst,3,1,0,76,0,,
EmojiApp,emojiapp,LinkedList,removeLast,3,1,0,81,0,,
EmojiApp,emojiapp,LinkedList,add,3,1,2,86,0,,
EmojiApp,emojiapp,LinkedList,remove,3,1,1,91,0,,
EmojiApp,emojiapp,LinkedList,remove,3,1,1,95,0,,
EmojiApp,emojiapp,LinkedList,get,3,1,1,100,0,,
EmojiApp,emojiapp,LinkedList,set,3,1,2,105,0,,
EmojiApp,emojiapp,LinkedList,getReversedPairs,15,3,0,112,0,emojiapp.LinkedList,emojiapp.LinkedList
EmojiApp,emojiapp,LinkedList,splitByIndex,9,2,1,134,0,emojiapp.LinkedList,emojiapp.LinkedList
EmojiApp,emojiapp,LinkedList,getNthFromLast,10,3,1,148,0,emojiapp.LinkedList,emojiapp.LinkedList
EmojiApp,emojiapp,LinkedList,removeRange,15,4,2,162,0,emojiapp.LinkedList,emojiapp.LinkedList
EmojiApp,emojiapp,List,size,0,1,0,7,0,,
