Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
EmojiBuilder-main,org.openjfx.emojibuilder,LoginFXMLController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: TDA.LinkedList; TDA.User
EmojiBuilder-main,org.openjfx.emojibuilder,LoginFXMLController,Law of Demeter violation,The tool detected the smell in this method (checkLogin) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.User.getUsername; TDA.LinkedList.get
EmojiBuilder-main,org.openjfx.emojibuilder,LoginFXMLController,Law of Demeter violation,The tool detected the smell in this method (checkLogin) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.User.getPassword; TDA.LinkedList.get
EmojiBuilder-main,org.openjfx.emojibuilder,LoginFXMLController,Law of Demeter violation,The tool detected the smell in this method (checkSignup) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.User.getUsername; TDA.LinkedList.get
EmojiBuilder-main,TDA,CircularDoublyLL,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: TDA.CDLNode
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (addFirst) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.getNext; TDA.CDLNode.setPrevious
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (addLast) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.getNext; TDA.CDLNode.setPrevious
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (removeLast) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.setNext; TDA.CDLNode.getPrevious
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (removeLast) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.getNext; TDA.CDLNode.setPrevious
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (getAnterior) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.getContent; TDA.CDLNode.getPrevious
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (getSiguiente) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.getNext; TDA.CDLNode.getContent
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (remove) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.setNext; TDA.CDLNode.getPrevious
EmojiBuilder-main,TDA,CircularDoublyLL,Law of Demeter violation,The tool detected the smell in this method (remove) because the method voilates the law of Demeter. The long chain of method invocations is : TDA.CDLNode.getNext; TDA.CDLNode.setPrevious
EmojiBuilder-main,TDA,LinkedList,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: TDA.Node
