Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,agregarInformacion,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,App,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,Contacto,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,ContactoEmpresa,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Contacto
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,CrearEmpresaController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CrearEmpresaController; SeleccionarTipoContactoController; SecondaryController; VerContactoController; MostrarGaleríaController; CrearUsuarioController
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,EditContactController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,Foto,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: direccion
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,Numero,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,PrimaryController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,SocialMedia,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,VerContactoController,Feature Envy,The tool detected a instance of this smell because modificarFavorito is more interested in members of the type: Contacto
Proyecto_EDD-main,ec.edu.espol.proyecto_edd,VerContactoController,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): rowHandler
Proyecto_EDD-main,TDA,MyArrayList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
