Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addFoto,Long Statement,The length of the statement "FileChooser.ExtensionFilter extFilter=new FileChooser.ExtensionFilter("Archivos de imagen"`"*.png"`"*.jpg"`"*.jpeg"`"*.gif");" is 125.,212
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addFecha,Complex Conditional,The conditional expression (fechaField.getValue() == null && !tipoFechaField.getText().isBlank()) || (fechaField.getValue() != null && tipoFechaField.getText().isBlank()) is complex.,241
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addFecha,Long Statement,The length of the statement "else if ((fechaField.getValue() == null && !tipoFechaField.getText().isBlank()) || (fechaField.getValue() != null && tipoFechaField.getText().isBlank())) {" is 155.,241
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addRelacion,Complex Conditional,The conditional expression (tipoRelacionField.getText().isBlank() && !nombreRelacionField.getText().isBlank()) || (!tipoRelacionField.getText().isBlank() && nombreRelacionField.getText().isBlank()) is complex.,253
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addRelacion,Long Statement,The length of the statement "else if ((tipoRelacionField.getText().isBlank() && !nombreRelacionField.getText().isBlank()) || (!tipoRelacionField.getText().isBlank() && nombreRelacionField.getText().isBlank())) {" is 182.,253
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addEmail,Complex Conditional,The conditional expression (emailField.getText().isBlank() && !etiquetaEmailField.getText().isBlank()) || (!emailField.getText().isBlank() && etiquetaEmailField.getText().isBlank()) is complex.,277
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addEmail,Long Statement,The length of the statement "else if ((emailField.getText().isBlank() && !etiquetaEmailField.getText().isBlank()) || (!emailField.getText().isBlank() && etiquetaEmailField.getText().isBlank())) {" is 166.,277
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addDireccion,Complex Conditional,The conditional expression (direccionField.getText().isBlank() && !etiquetaDireccionField.getText().isBlank()) || (!direccionField.getText().isBlank() && etiquetaDireccionField.getText().isBlank()) is complex.,288
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addDireccion,Long Statement,The length of the statement "else if ((direccionField.getText().isBlank() && !etiquetaDireccionField.getText().isBlank()) || (!direccionField.getText().isBlank() && etiquetaDireccionField.getText().isBlank())) {" is 182.,288
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addTelefono,Complex Conditional,The conditional expression (telefonoFIeld.getText().isBlank() && !etiquetaTelefonoField.getText().isBlank()) || (!telefonoFIeld.getText().isBlank() && etiquetaTelefonoField.getText().isBlank()) is complex.,299
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addTelefono,Long Statement,The length of the statement "else if ((telefonoFIeld.getText().isBlank() && !etiquetaTelefonoField.getText().isBlank()) || (!telefonoFIeld.getText().isBlank() && etiquetaTelefonoField.getText().isBlank())) {" is 178.,299
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addRed,Complex Conditional,The conditional expression (etiquetaRedField.getText().isBlank() && !usernameRedField.getText().isBlank()) || (!etiquetaRedField.getText().isBlank() && usernameRedField.getText().isBlank()) is complex.,310
ProyectoContactos,ec.edu.espol.proyectocontactos,AgregarContactosController,addRed,Long Statement,The length of the statement "else if ((etiquetaRedField.getText().isBlank() && !usernameRedField.getText().isBlank()) || (!etiquetaRedField.getText().isBlank() && usernameRedField.getText().isBlank())) {" is 174.,310
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,ordenarLista,Magic Number,The method contains a magic number: 2,299
ProyectoContactos,ec.edu.espol.proyectocontactos,ContactosController,ordenarLista,Magic Number,The method contains a magic number: 3,299
ProyectoContactos,ec.edu.espol.proyectocontactos,LoginController,signIn,Complex Conditional,The conditional expression userField.getText().isBlank() || passwordField.getText().isBlank() || userField.getText().contains(" ")|| passwordField.getText().contains(" ") is complex.,67
ProyectoContactos,ec.edu.espol.proyectocontactos,LoginController,signIn,Long Statement,The length of the statement "if (userField.getText().isBlank() || passwordField.getText().isBlank() || userField.getText().contains(" ")|| passwordField.getText().contains(" ")) {" is 150.,67
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,cargarImagenEnImageView,Magic Number,The method contains a magic number: 150,273
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,cargarImagenEnImageView,Magic Number,The method contains a magic number: 150,273
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,agregarInformacionContacto,Complex Method,Cyclomatic complexity of the method is 11,335
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,removerInformacionContacto,Complex Method,Cyclomatic complexity of the method is 11,364
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addDireccion,Complex Conditional,The conditional expression (direccionField.getText().isBlank() && !etDireccionField.getText().isBlank()) || (!direccionField.getText().isBlank() && etDireccionField.getText().isBlank()) is complex.,399
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addDireccion,Long Statement,The length of the statement "else if ((direccionField.getText().isBlank() && !etDireccionField.getText().isBlank()) || (!direccionField.getText().isBlank() && etDireccionField.getText().isBlank())) {" is 170.,399
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addEmail,Complex Conditional,The conditional expression (emailField.getText().isBlank() && !etEmailField.getText().isBlank()) || (!emailField.getText().isBlank() && etEmailField.getText().isBlank()) is complex.,410
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addEmail,Long Statement,The length of the statement "else if ((emailField.getText().isBlank() && !etEmailField.getText().isBlank()) || (!emailField.getText().isBlank() && etEmailField.getText().isBlank())) {" is 154.,410
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addTelefono,Complex Conditional,The conditional expression (telefonoField.getText().isBlank() && !etTelefonoField.getText().isBlank()) || (!telefonoField.getText().isBlank() && etTelefonoField.getText().isBlank()) is complex.,422
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addTelefono,Long Statement,The length of the statement "else if ((telefonoField.getText().isBlank() && !etTelefonoField.getText().isBlank()) || (!telefonoField.getText().isBlank() && etTelefonoField.getText().isBlank())) {" is 166.,422
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addRed,Complex Conditional,The conditional expression (etRedField.getText().isBlank() && !redField.getText().isBlank()) || (!etRedField.getText().isBlank() && redField.getText().isBlank()) is complex.,433
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addRed,Long Statement,The length of the statement "else if ((etRedField.getText().isBlank() && !redField.getText().isBlank()) || (!etRedField.getText().isBlank() && redField.getText().isBlank())) {" is 146.,433
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addFecha,Complex Conditional,The conditional expression (fechaField.getValue() == null && !etFechaFIeld.getText().isBlank()) || (fechaField.getValue() != null && etFechaFIeld.getText().isBlank()) is complex.,445
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addFecha,Long Statement,The length of the statement "else if ((fechaField.getValue() == null && !etFechaFIeld.getText().isBlank()) || (fechaField.getValue() != null && etFechaFIeld.getText().isBlank())) {" is 151.,445
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addRelacion,Complex Conditional,The conditional expression (etRelacionField.getText().isBlank() && !relacionFieldd.getText().isBlank()) || (!etRelacionField.getText().isBlank() && relacionFieldd.getText().isBlank()) is complex.,458
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addRelacion,Complex Method,Cyclomatic complexity of the method is 8,458
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addRelacion,Long Statement,The length of the statement "else if ((etRelacionField.getText().isBlank() && !relacionFieldd.getText().isBlank()) || (!etRelacionField.getText().isBlank() && relacionFieldd.getText().isBlank())) {" is 168.,458
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,addFoto,Long Statement,The length of the statement "FileChooser.ExtensionFilter extFilter=new FileChooser.ExtensionFilter("Archivos de imagen"`"*.png"`"*.jpg"`"*.jpeg"`"*.gif");" is 125.,519
ProyectoContactos,ec.edu.espol.proyectocontactos,MostrarContactoController,initializeContacto,Complex Method,Cyclomatic complexity of the method is 13,625
