Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
20Preguntas,ec.edu.espol.ventanas,App,1,0,4,2,21,4,0,0,0.5,0,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\App.java,11
20Preguntas,ec.edu.espol.ventanas,VAgregarAnimalController,13,0,8,5,155,17,0,0,0.25,1,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VAgregarAnimalController.java,34
20Preguntas,ec.edu.espol.ventanas,VBienvenidaController,8,0,5,2,98,7,0,0,0.4,1,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VBienvenidaController.java,20
20Preguntas,ec.edu.espol.ventanas,VCantidadPreguntasController,9,0,8,4,114,11,0,0,0.25,2,5,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VCantidadPreguntasController.java,30
20Preguntas,ec.edu.espol.ventanas,VMenuController,8,0,6,2,138,6,0,0,0.0,6,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VMenuController.java,17
20Preguntas,ec.edu.espol.ventanas,VMostrarAnimalesController,9,0,4,3,51,6,0,0,0.5,1,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VMostrarAnimalesController.java,28
20Preguntas,ec.edu.espol.ventanas,VPreguntasController,27,0,21,6,347,63,0,0,0.09523809523809523,3,5,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VPreguntasController.java,30
20Preguntas,ec.edu.espol.ventanas,VResultadoController,10,0,8,5,129,16,0,0,0.5,1,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VResultadoController.java,27
20Preguntas,ec.edu.espol.ventanas,VSubirArchivoController,15,0,11,5,149,17,0,0,0.2727272727272727,1,4,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\ec\edu\espol\ventanas\VSubirArchivoController.java,28
20Preguntas,GameLogic,Game,3,0,4,4,46,8,0,0,0.0,3,2,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\GameLogic\Game.java,8
20Preguntas,GameLogic,Question,2,0,5,5,23,5,0,0,0.0,2,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\GameLogic\Question.java,3
20Preguntas,GameLogic,TreeBuilder,5,0,16,10,171,43,0,0,0.0,3,3,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\GameLogic\TreeBuilder.java,12
20Preguntas,TDAs,Reader,0,0,6,6,112,17,0,0,-1.0,3,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\TDAs\Reader.java,17
20Preguntas,TDAs,TreeG4,4,0,13,13,79,25,0,0,0.0,7,0,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\TDAs\TreeG4.java,7
20Preguntas,TDAs,TreeG4.Node,3,0,0,0,8,0,0,0,-1.0,0,1,C:\Users\jorge\OneDrive\Documentos\GitHub\MIC-Evolucion_patrones_de_diseno\Carpeta de Estudio\E27\Repo2\PROY2_ED-main\PROY2_ED-main\20Preguntas\src\main\java\TDAs\TreeG4.java,15
