Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits,BuyerComboFruitsApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,ComboController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,FruitController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models,BuyerEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; dni; email; comboEntities
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models,BuyerEntity,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; name; dni; email; comboEntities
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models,ComboEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; price; fruits; buyerEntityList
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models,ComboEntity,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; name; price; fruits; buyerEntityList
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models,FruitEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; price; combo
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models.dto,BuyerDto,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; dni; email; comboEntities
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models.dto,BuyerDto,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; name; dni; email; comboEntities
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models.dto,ComboDto,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; price; fruits; buyerEntityList
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models.dto,ComboDto,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; name; price; fruits; buyerEntityList
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.models.dto,FruitDto,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; name; price; combo
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.service.imp,BuyerService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
