Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits,BuyerComboFruitsApplication,main,3,1,1,9,0,,
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits,BuyerComboFruitsApplicationTests,contextLoads,2,1,0,9,1,,
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,BuyerController,3,1,1,20,0,,
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,findByAll,4,1,0,24,0,com.buyerfruits.buyercombofruits.service.IBuyerService,com.buyerfruits.buyercombofruits.service.IBuyerService
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,findById,9,2,1,39,0,com.buyerfruits.buyercombofruits.service.IBuyerService,com.buyerfruits.buyercombofruits.service.IBuyerService
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,BuyerController,save,3,1,1,56,0,com.buyerfruits.buyercombofruits.service.IBuyerService,com.buyerfruits.buyercombofruits.service.IBuyerService
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,ComboController,ComboController,3,1,1,21,0,,
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,ComboController,findByAll,4,1,0,25,0,com.buyerfruits.buyercombofruits.service.imp.ComboService,com.buyerfruits.buyercombofruits.service.imp.ComboService
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,ComboController,findById,10,2,1,39,0,com.buyerfruits.buyercombofruits.service.imp.ComboService,com.buyerfruits.buyercombofruits.service.imp.ComboService
ApiBuyerwithComboFruits-main,com.buyerfruits.buyercombofruits.controllers,ComboController,save,3,1,1,57,0,com.buyerfruits.buyercombofruits.service.imp.ComboService,com.buyerfruits.buyercombofruits.service.imp.ComboService
