Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Desing-Patterns2-main,ChainofResponsability,CustomerServiceDepartment,setNext,3,1,1,7,0,,
Desing-Patterns2-main,ChainofResponsability,CustomerServiceDepartment,consultar,4,2,1,12,0,,
Desing-Patterns2-main,ChainofResponsability,Department,setNext,0,1,1,5,0,,
Desing-Patterns2-main,ChainofResponsability,Department,consultar,0,1,1,6,0,,
Desing-Patterns2-main,ChainofResponsability,Inventory,setNext,3,1,1,7,0,,
Desing-Patterns2-main,ChainofResponsability,Inventory,consultar,4,2,1,12,0,,
Desing-Patterns2-main,ChainofResponsability,Management,setNext,3,1,1,7,0,,
Desing-Patterns2-main,ChainofResponsability,Management,consultar,4,2,1,12,0,,
Desing-Patterns2-main,ChainofResponsability,TechnicalDepartment,setNext,3,1,1,7,0,,
Desing-Patterns2-main,ChainofResponsability,TechnicalDepartment,consultar,4,2,1,12,0,,
Desing-Patterns2-main,ChainofResponsability,Tienda,main,11,1,1,5,0,,
Desing-Patterns2-main,com.mycompany.tallerpatrones,TallerPatrones,main,13,1,1,12,0,,
Desing-Patterns2-main,Iterator,Aplication,main,9,2,1,13,0,,
Desing-Patterns2-main,Iterator,iterableCollection,crearCompradorIterator,0,1,0,12,0,,
Desing-Patterns2-main,Iterator,iterableCollection,crearVendedorIterator,0,1,0,13,0,,
Desing-Patterns2-main,Iterator,iterableCollection,crearProveedorIterator,0,1,0,14,0,,
Desing-Patterns2-main,Iterator,iterableCollection,crearMantenimientoIterator,0,1,0,15,0,,
Desing-Patterns2-main,Iterator,Iterator,getNext,5,1,0,20,0,,
Desing-Patterns2-main,Iterator,Iterator,hasNext,9,1,0,27,0,,
Desing-Patterns2-main,Iterator,Product,Product,5,1,3,17,0,,
Desing-Patterns2-main,Iterator,Product,getType,3,1,0,25,0,,
Desing-Patterns2-main,Iterator,Product,setType,3,1,1,29,0,,
Desing-Patterns2-main,Iterator,Product,getCantidad,3,1,0,33,0,,
Desing-Patterns2-main,Iterator,Product,setCantidad,3,1,1,37,0,,
Desing-Patterns2-main,Iterator,Product,getCod_bodega,3,1,0,41,0,,
Desing-Patterns2-main,Iterator,Product,setCod_bodega,3,1,1,45,0,,
Desing-Patterns2-main,Iterator,Product,isEn_reparacion,3,1,0,49,0,,
Desing-Patterns2-main,Iterator,Product,setEn_reparacion,3,1,1,53,0,,
Desing-Patterns2-main,Iterator,ProductIterator,getNext,0,1,0,13,0,,
Desing-Patterns2-main,Iterator,ProductIterator,hasNext,0,1,0,14,0,,
Desing-Patterns2-main,Iterator,ProductsCollection,addProduct,3,1,1,17,0,,
Desing-Patterns2-main,Iterator,ProductsCollection,cargarProductos,8,1,0,21,0,,
Desing-Patterns2-main,Iterator,ProductsCollection,ProductsCollection,2,1,0,31,0,,
Desing-Patterns2-main,Iterator,ProductsCollection,crearCompradorIterator,3,1,0,34,0,,
Desing-Patterns2-main,Iterator,ProductsCollection,crearVendedorIterator,4,1,0,39,0,,
Desing-Patterns2-main,Iterator,ProductsCollection,crearProveedorIterator,4,1,0,45,0,,
Desing-Patterns2-main,Iterator,ProductsCollection,crearMantenimientoIterator,4,1,0,51,0,,
Desing-Patterns2-main,Strategy,Aereo,distribuir,3,1,0,5,0,,
Desing-Patterns2-main,Strategy,Automotriz,distribuir,3,1,0,5,0,,
Desing-Patterns2-main,Strategy,Ciclismo,distribuir,3,1,0,5,0,,
Desing-Patterns2-main,Strategy,Ferroviario,distribuir,3,1,0,5,0,,
Desing-Patterns2-main,Strategy,Fluvial,distribuir,3,1,0,5,0,,
Desing-Patterns2-main,Strategy,Logistica,setStrategy,3,1,1,7,0,,
Desing-Patterns2-main,Strategy,Logistica,startDistribuir,3,1,0,11,0,,
Desing-Patterns2-main,Strategy,TransporteStrategy,distribuir,0,1,0,5,0,,
