Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Desing-Patterns2-main,ChainofResponsability,Articulo,0,0,0,0,2,0,0,0,-1.0,6,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\ChainofResponsability\Articulo.java,3
Desing-Patterns2-main,ChainofResponsability,CustomerServiceDepartment,1,0,2,2,10,3,0,1,0.0,1,2,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\ChainofResponsability\CustomerServiceDepartment.java,3
Desing-Patterns2-main,ChainofResponsability,Department,0,0,2,2,4,2,4,0,-1.0,5,1,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\ChainofResponsability\Department.java,3
Desing-Patterns2-main,ChainofResponsability,Inventory,1,0,2,2,10,3,0,1,0.0,1,2,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\ChainofResponsability\Inventory.java,3
Desing-Patterns2-main,ChainofResponsability,Management,1,0,2,2,10,3,0,1,0.0,1,2,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\ChainofResponsability\Management.java,3
Desing-Patterns2-main,ChainofResponsability,TechnicalDepartment,1,0,2,2,10,3,0,1,0.0,1,2,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\ChainofResponsability\TechnicalDepartment.java,3
Desing-Patterns2-main,ChainofResponsability,Tienda,0,0,1,1,13,1,0,0,-1.0,0,6,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\ChainofResponsability\Tienda.java,3
Desing-Patterns2-main,com.mycompany.tallerpatrones,TallerPatrones,0,0,1,1,15,1,0,0,-1.0,0,1,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\com\mycompany\tallerpatrones\TallerPatrones.java,10
Desing-Patterns2-main,Iterator,Aplication,0,0,1,1,17,2,0,0,-1.0,0,3,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Iterator\Aplication.java,7
Desing-Patterns2-main,Iterator,iterableCollection,0,0,4,4,9,4,1,0,-1.0,0,1,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Iterator\iterableCollection.java,7
Desing-Patterns2-main,Iterator,Iterator,3,0,2,2,22,2,0,1,0.0,3,1,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Iterator\Iterator.java,10
Desing-Patterns2-main,Iterator,Product,4,0,9,9,38,9,0,0,0.2222222222222222,4,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Iterator\Product.java,7
Desing-Patterns2-main,Iterator,ProductIterator,0,0,2,2,7,2,1,0,-1.0,0,1,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Iterator\ProductIterator.java,8
Desing-Patterns2-main,Iterator,ProductsCollection,1,0,7,7,34,7,0,1,0.8571428571428571,1,2,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Iterator\ProductsCollection.java,10
Desing-Patterns2-main,Strategy,Aereo,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Strategy\Aereo.java,3
Desing-Patterns2-main,Strategy,Automotriz,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Strategy\Automotriz.java,3
Desing-Patterns2-main,Strategy,Ciclismo,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Strategy\Ciclismo.java,3
Desing-Patterns2-main,Strategy,Ferroviario,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Strategy\Ferroviario.java,3
Desing-Patterns2-main,Strategy,Fluvial,0,0,1,1,5,1,0,1,-1.0,0,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Strategy\Fluvial.java,3
Desing-Patterns2-main,Strategy,Logistica,1,0,2,2,9,2,0,0,0.0,1,1,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Strategy\Logistica.java,3
Desing-Patterns2-main,Strategy,TransporteStrategy,0,0,1,1,3,1,5,0,-1.0,1,0,C:\Users\jorge\OneDrive\Escritorio\Proyectos Para estudio MIT\Estudiante 2- luisenjs\Desing-Patterns2-main\Desing-Patterns2-main\TallerPatrones\src\main\java\Strategy\TransporteStrategy.java,3
